Species,Genus,Family
Kappatorquevirus suidak2a,Kappatorquevirus,Anelloviridae
Pecentumvirus LMTA34,Pecentumvirus,Herelleviridae
Radbaivirus tellurihabitans,Radbaivirus,Fiersviridae
Tomato golden mosaic virus,Begomovirus,Geminiviridae
Melanoplus sanguinipes entomopoxvirus,Deltaentomopoxvirus,Poxviridae
Rtpvirus IME253,Rtpvirus,Drexlerviridae
Tunavirus SH2,Tunavirus,Drexlerviridae
Vernonia yellow vein betasatellite,Betasatellite,Tolecusatellitidae
Cocksfoot streak virus,Potyvirus,Potyviridae
Asian prunus virus 1,Foveavirus,Betaflexiviridae
Penicillimonavirus deltaplasmoparae,Penicillimonavirus,Mymonaviridae
Bottigliavirus ABV,Bottigliavirus,Ampullaviridae
Webervirus KLPN1,Webervirus,Drexlerviridae
Lyssavirus bokeloh,Lyssavirus,Rhabdoviridae
Sida leaf curl alphasatellite,Colecusatellite,Alphasatellitidae
Dohlivirus borborovivens,Dohlivirus,Fiersviridae
Alphatrevirus ID32,Alphatrevirus,Microviridae
Oxychlovirus terrihabitans,Oxychlovirus,Fiersviridae
Cheravirus avii,Cheravirus,Secoviridae
Zindervirus UAB78,Zindervirus,Autographiviridae
Webervirus KOX1,Webervirus,Drexlerviridae
Luzseptimavirus KPP21,Luzseptimavirus,Schitoviridae
Hepacivirus otomopis,Hepacivirus,Flaviviridae
Orthohantavirus kenkemeense,Orthohantavirus,Hantaviridae
Cypovirus 15,Cypovirus,Spinareoviridae
Magoulivirus zetaplasmoparae,Magoulivirus,Botourmiaviridae
Orthoflavivirus bagazaense,Orthoflavivirus,Flaviviridae
Bovine astrovirus B18/HK,Mamastrovirus,Astroviridae
Gammafusarivirus lentinualea,Gammafusarivirus,Fusariviridae
Przondovirus IL33,Przondovirus,Autographiviridae
Tomato leaf curl Mahe virus,Begomovirus,Geminiviridae
Potato virus X,Potexvirus,Alphaflexiviridae
Picobirnavirus green monkey/KNA/2015,Picobirnavirus,Picobirnaviridae
Orthonairovirus tunisense,Orthonairovirus,Nairoviridae
Oat mosaic virus,Bymovirus,Potyviridae
Chahsmivirus limivivens,Chahsmivirus,Fiersviridae
Milk vetch dwarf alphasatellite 2,Clostunsatellite,Alphasatellitidae
Tunavirus T1,Tunavirus,Drexlerviridae
Banana bunchy top virus,Babuvirus,Nanoviridae
Mediterranean ruda virus,Potyvirus,Potyviridae
Iflavirus dinococcinellae,Iflavirus,Iflaviridae
Botrytis cinerea botoulivirus 19,Botoulivirus,Botourmiaviridae
Qinghai Himalayan marmot astrovirus 1,Mamastrovirus,Astroviridae
Torque teno virus 23,Alphatorquevirus,Anelloviridae
Copiparvovirus ungulate2,Copiparvovirus,Parvoviridae
Tequatrovirus hy01,Tequatrovirus,Straboviridae
Tomato twisted leaf virus,Begomovirus,Geminiviridae
Dyokappapapillomavirus 1,Dyokappapapillomavirus,Papillomaviridae
Banana streak virus,Badnavirus,Caulimoviridae
Sakobuvirus A,Sakobuvirus,Picornaviridae
Tobacco yellow dwarf virus,Mastrevirus,Geminiviridae
Elephant endotheliotropic herpesvirus 4,Proboscivirus,Orthoherpesviridae
Entovirus entoleucae,Entovirus,Phenuiviridae
Paris mosaic necrosis virus,Potyvirus,Potyviridae
Phyllomonavirus gysingense,Phyllomonavirus,Mymonaviridae
Orthoavulavirus javaense,Orthoavulavirus,Paramyxoviridae
Rice black streaked dwarf virus,Fijivirus,Spinareoviridae
Tequintavirus T5,Tequintavirus,Demerecviridae
Gomphocarpus mosaic virus,Potyvirus,Potyviridae
Scarabeuvirus lampyris,Scarabeuvirus,Chuviridae
Simian mastadenovirus I,Mastadenovirus,Adenoviridae
Staminivirus SMA9,Staminivirus,Inoviridae
Streptococcus phage P0091,Moineauvirus,Aliceevansviridae
Squash yellow mild mottle virus,Begomovirus,Geminiviridae
Invertebrate iridescent virus 31,Iridovirus,Iridoviridae
Gambievirus senegalense,Gambievirus,Xinmoviridae
Ceceduovirus aszj,Ceceduovirus,Straboviridae
Paopuvirus bri160,Paopuvirus,Orlajensenviridae
Plantain virus X,Potexvirus,Alphaflexiviridae
Pepper leaf curl Bangladesh virus,Begomovirus,Geminiviridae
Garlic common latent virus,Carlavirus,Betaflexiviridae
Hanrivervirus slyngel,Hanrivervirus,Drexlerviridae
Chivirus KFSSE1,Chivirus,Casjensviridae
Pehohrivirus asiovicinum,Pehohrivirus,Fiersviridae
Sugarcane streak Reunion virus,Mastrevirus,Geminiviridae
Psouhdivirus limadaptatum,Psouhdivirus,Steitzviridae
Webervirus sin4,Webervirus,Drexlerviridae
Mintuvirus asienecus,Mintuvirus,Fiersviridae
Nyavirus somateriae,Nyavirus,Nyamiviridae
Streptococcus phage P9854,Moineauvirus,Aliceevansviridae
Abakapovirus humadaptatum,Abakapovirus,Steitzviridae
Malvastrum leaf curl virus,Begomovirus,Geminiviridae
Bundooravirus PumA2,Bundooravirus,Salasmaviridae
Shilevirus leptomonadis,Shilevirus,Leishbuviridae
Ledantevirus kolente,Ledantevirus,Rhabdoviridae
Chivirus ST101,Chivirus,Casjensviridae
Brudgevirus terrivivens,Brudgevirus,Fiersviridae
Gammapapillomavirus 24,Gammapapillomavirus,Papillomaviridae
Scindoambidensovirus orthopteran1,Scindoambidensovirus,Parvoviridae
Alphatorquevirus homin19,Alphatorquevirus,Anelloviridae
Uliginvirus nerthus,Uliginvirus,Autographiviridae
Torradovirus marchitezum,Torradovirus,Secoviridae
Betapolyomavirus mafricanus,Betapolyomavirus,Polyomaviridae
Frog siadenovirus A,Siadenovirus,Adenoviridae
Dpdavirus HRTV29,Dpdavirus,Haloferuviridae
Sugarcane streak Egypt virus,Mastrevirus,Geminiviridae
Reyvirus rey,Reyvirus,Vilmaviridae
Nerine yellow stripe virus,Potyvirus,Potyviridae
Kafavirus SWcelC56,Kafavirus,Autographiviridae
Sclerotium rolfsii hypovirus 7,Hypovirus,Hypoviridae
Naranjilla mild mosaic virus,Tymovirus,Tymoviridae
Kayvirus P108,Kayvirus,Herelleviridae
Camel associated drosmacovirus 1,Drosmacovirus,Smacoviridae
Moineauvirus mv7201,Moineauvirus,Aliceevansviridae
Brassica campestris chinensis coguvirus 1,Coguvirus,Phenuiviridae
Siniperhavirus chuatsi,Siniperhavirus,Rhabdoviridae
Columnea latent viroid,Pospiviroid,Pospiviroidae
Phocoena pestivirus,Pestivirus,Flaviviridae
Kuttervirus allotria,Kuttervirus,Ackermannviridae
Finnlakevirus FLiP,Finnlakevirus,Finnlakeviridae
Jiaodavirus kp179,Jiaodavirus,Straboviridae
Polar bear mastadenovirus A,Mastadenovirus,Adenoviridae
Cherry virus A,Capillovirus,Betaflexiviridae
Yingchengvirus SNJ1,Yingchengvirus,Simuloviridae
Helianthus annuus alphaendornavirus,Alphaendornavirus,Endornaviridae
Berlinvirus BA14,Berlinvirus,Autographiviridae
Porcine stool-associated circular virus,Porprismacovirus,Smacoviridae
Alternaria arborescens victorivirus 1,Victorivirus,Totiviridae
Dependoparvovirus pinniped1,Dependoparvovirus,Parvoviridae
Vohsuavirus solicola,Vohsuavirus,Fiersviridae
Penicillimonavirus betaplasmoparae,Penicillimonavirus,Mymonaviridae
Deltascleroulivirus botrytidis,Deltascleroulivirus,Botourmiaviridae
Tequintavirus chee24,Tequintavirus,Demerecviridae
Bacillus phage Belinda,Wphvirus,Herelleviridae
Orthotospovirus hippeflavi,Orthotospovirus,Tospoviridae
Nehohpavirus tellurenecus,Nehohpavirus,Blumeviridae
Hubei chipolycivirus,Chipolycivirus,Polycipiviridae
Ledantevirus vaprio,Ledantevirus,Rhabdoviridae
Cyclovirus humana,Cyclovirus,Circoviridae
Thalassavirus cody,Thalassavirus,Demerecviridae
Emaravirus cercidis,Emaravirus,Fimoviridae
Telosma mosaic virus,Potyvirus,Potyviridae
Sunrhavirus harrison,Sunrhavirus,Rhabdoviridae
Thosea asigna virus,Alphapermutotetravirus,Permutotetraviridae
Tymovirus dulcamarae,Tymovirus,Tymoviridae
Ochlerotatus caspius flavivirus,Flavivirus,Flaviviridae
Enterovirus C,Enterovirus,Picornaviridae
Thalassavirus AG74,Thalassavirus,Demerecviridae
Tymovirus melongenae,Tymovirus,Tymoviridae
Hohrdovirus solihabitans,Hohrdovirus,Steitzviridae
Scleroulivirus gammaplasmoparae,Scleroulivirus,Botourmiaviridae
Gemytripvirus fugra1,Gemytripvirus,Genomoviridae
Canine vesivirus,Vesivirus,Caliciviridae
Sigmavirus shayang,Sigmavirus,Rhabdoviridae
Luteovirus pashordei,Luteovirus,Tombusviridae
Gredihovirus arvihabitans,Gredihovirus,Steitzviridae
Euphorbia leaf curl Guangxi virus,Begomovirus,Geminiviridae
Orthoflavivirus ilheusense,Orthoflavivirus,Flaviviridae
Hop latent virus,Carlavirus,Betaflexiviridae
Tapwovirus cesti,Tapwovirus,Nyamiviridae
Fusarium poae alternavirus 1,Alternavirus,Alternaviridae
Phlebovirus aguacateense,Phlebovirus,Phenuiviridae
Babaco mosaic virus,Potexvirus,Alphaflexiviridae
Tralespevirus gompholobii,Tralespevirus,Tombusviridae
Claudivirus serpounce,Claudivirus,Salasmaviridae
Narcissus degeneration virus,Potyvirus,Potyviridae
Luteovirus phaseoli,Luteovirus,Tombusviridae
Haloferacalesvirus HSTV4,Haloferacalesvirus,Hafunaviridae
Megrivirus D,Megrivirus,Picornaviridae
Solanum mosaic Bolivia virus,Begomovirus,Geminiviridae
Alajuela orthobunyavirus,Orthobunyavirus,Peribunyaviridae
Copernicusvirus Ef62,Copernicusvirus,Rountreeviridae
Orthoflavivirus yaoundeense,Orthoflavivirus,Flaviviridae
Weheuvirus pelenecus,Weheuvirus,Steitzviridae
Bimiti orthobunyavirus,Orthobunyavirus,Peribunyaviridae
Alphatorquevirus cerco1,Alphatorquevirus,Anelloviridae
Pararubulavirus achimotaense,Pararubulavirus,Paramyxoviridae
Sadwavirus rubi,Sadwavirus,Secoviridae
Gemykolovirus derva1,Gemykolovirus,Genomoviridae
Magoulivirus betabotrytidis,Magoulivirus,Botourmiaviridae
Rhizophagus diaphanum mitovirus 2,Mitovirus,Mitoviridae
Reptilian orthoreovirus,Orthoreovirus,Spinareoviridae
Betaricinrhavirus scapularis,Betaricinrhavirus,Rhabdoviridae
Siegesbeckia yellow vein virus,Begomovirus,Geminiviridae
Tunavirus PSf2,Tunavirus,Drexlerviridae
Chenopodium leaf curl virus,Begomovirus,Geminiviridae
Alphatorquevirus homin5,Alphatorquevirus,Anelloviridae
Grey sealpox virus,Parapoxvirus,Poxviridae
Sclerotium hydrophilum orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae
Chaphamaparvovirus carnivoran1,Chaphamaparvovirus,Parvoviridae
Gemycircularvirus hydro1,Gemycircularvirus,Genomoviridae
Tobacco leaf curl Yunnan betasatellite,Betasatellite,Tolecusatellitidae
Hepacivirus norvegici,Hepacivirus,Flaviviridae
Thetaarterivirus mikelba 1,Thetaarterivirus,Arteriviridae
Aveparvovirus gruiform1,Aveparvovirus,Parvoviridae
Skysandvirus patio,Skysandvirus,Zierdtviridae
Equine mastadenovirus A,Mastadenovirus,Adenoviridae
Gredihovirus humivivens,Gredihovirus,Steitzviridae
Santee-Cooper ranavirus,Ranavirus,Iridoviridae
Tequatrovirus ecomdalca,Tequatrovirus,Straboviridae
Yingvirus shaheense,Yingvirus,Qinviridae
Cell fusing agent virus,Flavivirus,Flaviviridae
Agtrevirus P46FS4,Agtrevirus,Ackermannviridae
Gemycircularvirus ixode1,Gemycircularvirus,Genomoviridae
Circovirus morcego,Circovirus,Circoviridae
Hohrdovirus caenivivens,Hohrdovirus,Steitzviridae
Orthoflavivirus kedougouense,Orthoflavivirus,Flaviviridae
Abidjanvirus ZC01,Abidjanvirus,Mesyanzhinovviridae
Eosonovirus caenenecus,Eosonovirus,Solspiviridae
Betacarmovirus iridis,Betacarmovirus,Tombusviridae
Sdenfavirus asiovicinum,Sdenfavirus,Steitzviridae
Peduovirus Wphi,Peduovirus,Peduoviridae
Friunavirus Aci08,Friunavirus,Autographiviridae
Seodaemunguvirus YMC16-01N133,Seodaemunguvirus,Casjensviridae
Dahlia latent viroid,Hostuviroid,Pospiviroidae
Mimivirus-dependent virus Zamilon,Sputnikvirus,Lavidaviridae
Southern bean mosaic virus,Sobemovirus,Solemoviridae
Hepatovirus A,Hepatovirus,Picornaviridae
Percavirus equidgamma5,Percavirus,Orthoherpesviridae
Faba bean necrotic yellows virus,Nanovirus,Nanoviridae
Orthopteran miniambidensovirus 1,Miniambidensovirus,Parvoviridae
Hanrivervirus PGN590,Hanrivervirus,Drexlerviridae
Lauvirus lau218,Lauvirus,Autographiviridae
Bahnicevirus geoadaptatum,Bahnicevirus,Steitzviridae
Crustavirus wenlingense,Crustavirus,Nyamiviridae
Gemykibivirus planta2,Gemykibivirus,Genomoviridae
Kablunavirus kabluna,Kablunavirus,Zierdtviridae
Mammarenavirus caliense,Mammarenavirus,Arenaviridae
Vilniusvirus NBD2,Vilniusvirus,Drexlerviridae
Samsavirus HCTV2,Samsavirus,Saparoviridae
Orthohantavirus tigrayense,Orthohantavirus,Hantaviridae
Botoulivirus zetaplasmoparae,Botoulivirus,Botourmiaviridae
Tiger puffer nervous necrosis virus,Betanodavirus,Nodaviridae
Alphatorquevirus homin9,Alphatorquevirus,Anelloviridae
Cyclovirus gato,Cyclovirus,Circoviridae
Tequintavirus oldekolle,Tequintavirus,Demerecviridae
Philtcovirus borboradaptatum,Philtcovirus,Fiersviridae
Norway rat pegivirus,Pegivirus,Flaviviridae
Alphasphaerolipovirus HCIV1,Alphasphaerolipovirus,Sphaerolipoviridae
Tequatrovirus RB51,Tequatrovirus,Straboviridae
Bongovirus bongo,Bongovirus,Vilmaviridae
Siovirus americense,Siovirus,Zobellviridae
Tequintavirus DT5712,Tequintavirus,Demerecviridae
Bidens mosaic virus,Potyvirus,Potyviridae
Hahdsevirus borborenecus,Hahdsevirus,Fiersviridae
Kayvirus MCE2014,Kayvirus,Herelleviridae
Huhbevirus solivicinum,Huhbevirus,Steitzviridae
Emaravirus perillae,Emaravirus,Fimoviridae
Ringilvirus tuor,Ringilvirus,Vilyaviridae
Burkholderia phage PhiBP82.2,Tigrvirus,Peduoviridae
Bean golden mosaic virus,Begomovirus,Geminiviridae
Odontoglossum ringspot virus,Tobamovirus,Virgaviridae
Ampunavirus BpAMP1,Ampunavirus,Autographiviridae
Luteovirus mavhordei,Luteovirus,Tombusviridae
Webervirus NJS1,Webervirus,Drexlerviridae
Warsawvirus 3MF5,Warsawvirus,Autographiviridae
Acidianus filamentous virus 7,Betalipothrixvirus,Lipothrixviridae
Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae
Bandavirus heartlandense,Bandavirus,Phenuiviridae
Duamitovirus opno1c,Duamitovirus,Mitoviridae
Ribgrass mosaic virus,Tobamovirus,Virgaviridae
Warwickvirus tiwna,Warwickvirus,Drexlerviridae
Cytorhabdovirus alphatrifolii,Cytorhabdovirus,Rhabdoviridae
Equine rhinitis A virus,Aphthovirus,Picornaviridae
Gemykolovirus segpa1,Gemykolovirus,Genomoviridae
Blunervirus solani,Blunervirus,Kitaviridae
Tehnicivirus pelovicinum,Tehnicivirus,Steitzviridae
Heliosvirus raunefjordenense,Heliosvirus,Allomimiviridae
Varicosavirus lactucae,Varicosavirus,Rhabdoviridae
Solanum nodiflorum mottle virus,Sobemovirus,Solemoviridae
Hapavirus graylodge,Hapavirus,Rhabdoviridae
Etaarterivirus ugarco 1,Etaarterivirus,Arteriviridae
Gemykibivirus humas1,Gemykibivirus,Genomoviridae
Orthorubulavirus simiae,Orthorubulavirus,Paramyxoviridae
Gemykibivirus humas4,Gemykibivirus,Genomoviridae
Orthotospovirus alstroemeriflavi,Orthotospovirus,Tospoviridae
Pepino mosaic virus,Potexvirus,Alphaflexiviridae
Rosenblumvirus EBHT,Rosenblumvirus,Rountreeviridae
Cotton leafroll dwarf virus,Polerovirus,Solemoviridae
Badnavirus alphainflatheobromae,Badnavirus,Caulimoviridae
Mocruvirus solivivens,Mocruvirus,Steitzviridae
Mammarenavirus paranaense,Mammarenavirus,Arenaviridae
Tomato leaf curl Sudan virus,Begomovirus,Geminiviridae
Betapolyomavirus secacelebensis,Betapolyomavirus,Polyomaviridae
Hanrivervirus vojen,Hanrivervirus,Drexlerviridae
Fagihovirus chthonovivens,Fagihovirus,Steitzviridae
Orthophasmavirus odonatus,Orthophasmavirus,Phasmaviridae
Beshanovirus aquicola,Beshanovirus,Duinviridae
Pumpkin polerovirus,Polerovirus,Solemoviridae
Neritesvirus scam8,Neritesvirus,Kyanoviridae
Alphacarmovirus pelargonii,Alphacarmovirus,Tombusviridae
Cytorhabdovirus bacopae,Cytorhabdovirus,Rhabdoviridae
Fudhoevirus lutadaptatum,Fudhoevirus,Steitzviridae
Bhendi yellow vein India virus,Begomovirus,Geminiviridae
Comovirus andesense,Comovirus,Secoviridae
Cyclovirus naastsosi,Cyclovirus,Circoviridae
Pestivirus giraffae,Pestivirus,Flaviviridae
Chaphamaparvovirus galliform5,Chaphamaparvovirus,Parvoviridae
Sphaeropsis sapinea RNA virus 1,Victorivirus,Totiviridae
Fischettivirus C1,Fischettivirus,Rountreeviridae
Penicillium penoulivirus,Penoulivirus,Botourmiaviridae
Synechococcus virus SRIM12-08,Brizovirus,Kyanoviridae
Culex flavivirus,Flavivirus,Flaviviridae
Streptococcus phage P7132,Moineauvirus,Aliceevansviridae
Berisnavirus 1,Pregotovirus,Tobaniviridae
Aeropyrum coil-shaped virus,Alphaspiravirus,Spiraviridae
Varicellovirus equidalpha9,Varicellovirus,Orthoherpesviridae
Gemycircularvirus citas1,Gemycircularvirus,Genomoviridae
Kyungwonvirus CS01,Kyungwonvirus,Drexlerviridae
Escherichia phage PGN829.1,Gamaleyavirus,Schitoviridae
Tomato chlorotic leaf curl virus,Begomovirus,Geminiviridae
Gredihovirus edaphohabitans,Gredihovirus,Steitzviridae
Beecentumtrevirus B103,Beecentumtrevirus,Salasmaviridae
Rous sarcoma virus,Alpharetrovirus,Retroviridae
Citexvirus BR319A,Citexvirus,Peduoviridae
Potamipivirus A,Potamipivirus,Picornaviridae
Finkel-Biskis-Jinkins murine sarcoma virus,Gammaretrovirus,Retroviridae
Boerhavia yellow spot virus,Begomovirus,Geminiviridae
Grapevine virus J,Vitivirus,Betaflexiviridae
Botoulivirus alphaplasmoparae,Botoulivirus,Botourmiaviridae
Yingvirus xinzhouense,Yingvirus,Qinviridae
Iflavirus sacbroodi,Iflavirus,Iflaviridae
Mupapillomavirus 2,Mupapillomavirus,Papillomaviridae
Itarudivirus ARV1,Itarudivirus,Rudiviridae
Macavirus hippotraginegamma1,Macavirus,Orthoherpesviridae
Epsilonhypovirus agarici,Epsilonhypovirus,Hypoviridae
Tequatrovirus gee4507,Tequatrovirus,Straboviridae
Army ant associated cyclovirus 2,Cyclovirus,Circoviridae
Aconite virus A,Carlavirus,Betaflexiviridae
Tomato leaf curl Karnataka virus 2,Begomovirus,Geminiviridae
Crohivirus A,Crohivirus,Picornaviridae
Palyam virus,Orbivirus,Sedoreoviridae
Magoulivirus alphamacrophominae,Magoulivirus,Botourmiaviridae
Sida yellow vein Vietnam alphasatellite,Colecusatellite,Alphasatellitidae
Xuanwuvirus P88,Xuanwuvirus,Peduoviridae
Rhynchosia golden mosaic Yucatan virus,Begomovirus,Geminiviridae
Waikavirus diospyri,Waikavirus,Secoviridae
Dhakavirus wg01,Dhakavirus,Straboviridae
Pradovirus f30,Pradovirus,Autographiviridae
Karezivirus karezi,Karezivirus,Salasmaviridae
Laimuvirus asiocola,Laimuvirus,Steitzviridae
Mamastrovirus 2,Mamastrovirus,Astroviridae
Feline leukemia virus,Gammaretrovirus,Retroviridae
Cacao Bacilliform SriLanka Virus,Badnavirus,Caulimoviridae
Heterobasidion partitivirus P,Betapartitivirus,Partitiviridae
Badnavirus gammainflatheobromae,Badnavirus,Caulimoviridae
Tequintavirus NBSal003,Tequintavirus,Demerecviridae
Gyrovirus chickenanemia,Gyrovirus,Anelloviridae
Cellubavirus phi19una,Cellubavirus,Assiduviridae
Cunavirus pretoriense,Cunavirus,Fiersviridae
Actinovirus bernense,Actinovirus,Hantaviridae
Broad-leafed dock virus A,Macluravirus,Potyviridae
Saetivirus VFJ,Saetivirus,Inoviridae
Alphafusarivirus botrytidis,Alphafusarivirus,Fusariviridae
Orthohantavirus boweense,Orthohantavirus,Hantaviridae
Mammarenavirus praomyidis,Mammarenavirus,Arenaviridae
Mintinovirus pelovicinum,Mintinovirus,Solspiviridae
Magoulivirus fiplasmoparae,Magoulivirus,Botourmiaviridae
Simplexvirus macropodidalpha2,Simplexvirus,Orthoherpesviridae
Vendavirus caenivivens,Vendavirus,Solspiviridae
Wawtorquevirus crice2,Wawtorquevirus,Anelloviridae
Rainacovirus tellurivicinum,Rainacovirus,Atkinsviridae
Pradovirus XAJ24,Pradovirus,Autographiviridae
Deltapapillomavirus 6,Deltapapillomavirus,Papillomaviridae
Okubovirus camphawk,Okubovirus,Herelleviridae
Comovirus severum,Comovirus,Secoviridae
Magoulivirus tauplasmoparae,Magoulivirus,Botourmiaviridae
Penoulivirus iotaplasmoparae,Penoulivirus,Botourmiaviridae
Duamitovirus opno1b,Duamitovirus,Mitoviridae
Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae
Noehsivirus tellurivivens,Noehsivirus,Fiersviridae
Escherichia phage vB_EcoP_SP5M,Gamaleyavirus,Schitoviridae
Betapapillomavirus 2,Betapapillomavirus,Papillomaviridae
Bell pepper alphaendornavirus,Alphaendornavirus,Endornaviridae
Tibrovirus alphaekpoma,Tibrovirus,Rhabdoviridae
Betayadokarivirus yonbani,Betayadokarivirus,Yadokariviridae
Bat coronavirus CDPHE15,Alphacoronavirus,Coronaviridae
Malvastrum yellow vein Lahore virus,Begomovirus,Geminiviridae
Thogotovirus thailandense,Thogotovirus,Orthomyxoviridae
Pepper mild mottle virus,Tobamovirus,Virgaviridae
Hardy-Zuckerman feline sarcoma virus,Gammaretrovirus,Retroviridae
Salterprovirus His1,Salterprovirus,Halspiviridae
Pegivirus equi,Pegivirus,Flaviviridae
Bahdevuvirus caenivivens,Bahdevuvirus,Atkinsviridae
Chaetoceros tenuissimus RNA virus 01,Bacillarnavirus,Marnaviridae
Nihlwovirus limicola,Nihlwovirus,Steitzviridae
Hapavirus porton,Hapavirus,Rhabdoviridae
Badnavirus maculaucubae,Badnavirus,Caulimoviridae
Badnavirus venacodonopsis,Badnavirus,Caulimoviridae
Kuttervirus FEC14,Kuttervirus,Ackermannviridae
Dongdastvirus Axy12,Dongdastvirus,Schitoviridae
Betapolyomavirus marvalis,Betapolyomavirus,Polyomaviridae
Harambevirus harambe,Harambevirus,Salasmaviridae
Simian adenovirus B,Mastadenovirus,Adenoviridae
Rattail cactus necrosis-associated virus,Tobamovirus,Virgaviridae
Salemvirus salemense,Salemvirus,Paramyxoviridae
Alphanecrovirus tessellati,Alphanecrovirus,Tombusviridae
Porprismacovirus goras1,Porprismacovirus,Smacoviridae
Negarvirus WP2,Negarvirus,Rountreeviridae
Betayadokarivirus nibani,Betayadokarivirus,Yadokariviridae
Orthobunyavirus timboteuaense,Orthobunyavirus,Peribunyaviridae
Freesia mosaic virus,Potyvirus,Potyviridae
Cahtavirus humihabitans,Cahtavirus,Steitzviridae
Gemycircularvirus lepam2,Gemycircularvirus,Genomoviridae
Phlebovirus gordilense,Phlebovirus,Phenuiviridae
Alphafusarivirus neurosporae,Alphafusarivirus,Fusariviridae
Alohrdovirus borborenecus,Alohrdovirus,Solspiviridae
Chahsmivirus choradaptatum,Chahsmivirus,Fiersviridae
Tombusvirus cymbidii,Tombusvirus,Tombusviridae
Molluscum contagiosum virus,Molluscipoxvirus,Poxviridae
Drulisvirus KP34,Drulisvirus,Autographiviridae
Gammapolyomavirus padeliae,Gammapolyomavirus,Polyomaviridae
Moineauvirus Abc2,Moineauvirus,Aliceevansviridae
Lindernia anagallis yellow vein virus,Begomovirus,Geminiviridae
Honeysuckle yellow vein mosaic virus,Begomovirus,Geminiviridae
Berlinvirus PP74,Berlinvirus,Autographiviridae
Puma feline foamy virus,Felispumavirus,Retroviridae
Sunflower mosaic virus,Potyvirus,Potyviridae
Simian mastadenovirus B,Mastadenovirus,Adenoviridae
Phlebovirus itaporangaense,Phlebovirus,Phenuiviridae
Trocara virus,Alphavirus,Togaviridae
Diuris virus A,Divavirus,Betaflexiviridae
Mosso das Pedras virus,Alphavirus,Togaviridae
Magoulivirus etaplasmoparae,Magoulivirus,Botourmiaviridae
Callistephus mottle virus,Potyvirus,Potyviridae
Pifdecavirus UNOSLW1,Pifdecavirus,Autographiviridae
Drulisvirus SU503,Drulisvirus,Autographiviridae
Caloevirus agradaptatum,Caloevirus,Fiersviridae
Lavrentievavirus pPM01,Lavrentievavirus,Casjensviridae
Penicillimonavirus zetaplasmoparae,Penicillimonavirus,Mymonaviridae
Betapolyomavirus macacae,Betapolyomavirus,Polyomaviridae
Rhizoulivirus betarhizoctoniae,Rhizoulivirus,Botourmiaviridae
Bovine foamy virus,Bovispumavirus,Retroviridae
Betabaculovirus pluxylostellae,Betabaculovirus,Baculoviridae
Salacisavirus pssm2,Salacisavirus,Kyanoviridae
Alphamesonivirus 1,Alphamesonivirus,Mesoniviridae
Orthohantavirus fugongense,Orthohantavirus,Hantaviridae
Sida yellow vein Vietnam virus satellite DNA beta,Betasatellite,Tolecusatellitidae
Cereal yellow dwarf virus RPV,Polerovirus,Solemoviridae
Cordyceps chanhua alternavirus 1,Alternavirus,Alternaviridae
Molossus molossus circovirus 2,Circovirus,Circoviridae
Streptococcus phage P7601,Moineauvirus,Aliceevansviridae
Qeihnovirus defluviicola,Qeihnovirus,Atkinsviridae
Pacuvirus tapirapeense,Pacuvirus,Peribunyaviridae
Orthohantavirus tatenalense,Orthohantavirus,Hantaviridae
Vesiculovirus newjersey,Vesiculovirus,Rhabdoviridae
Pseudomonas phage 98PfluR60PP,Littlefixvirus,Schitoviridae
Bean calico mosaic virus,Begomovirus,Geminiviridae
Mammarenavirus aporeense,Mammarenavirus,Arenaviridae
Alphatrevirus NC29,Alphatrevirus,Microviridae
Ledantevirus barur,Ledantevirus,Rhabdoviridae
Soil-borne wheat mosaic virus,Furovirus,Virgaviridae
Rhynchosia mild mosaic virus,Begomovirus,Geminiviridae
Beet cryptic virus 1,Alphapartitivirus,Partitiviridae
Orthobunyavirus iacoense,Orthobunyavirus,Peribunyaviridae
Invertebrate iridescent virus 22,Chloriridovirus,Iridoviridae
Emaravirus tritici,Emaravirus,Fimoviridae
Ageratum leaf curl Cameroon virus,Begomovirus,Geminiviridae
Tequatrovirus cm8,Tequatrovirus,Straboviridae
Drakaea virus A,Goravirus,Virgaviridae
Sulfolobus islandicus rod-shaped virus 7,Usarudivirus,Rudiviridae
Chirohepevirus eptesici,Chirohepevirus,Hepeviridae
Lasius neglectus virus 1,Sopolycivirus,Polycipiviridae
Lineavirus pear,Lineavirus,Inoviridae
Klumppvirus A9,Klumppvirus,Herelleviridae
Coconut cadang-cadang viroid,Cocadviroid,Pospiviroidae
Cnidium virus X,Potexvirus,Alphaflexiviridae
Phlebovirus adanaense,Phlebovirus,Phenuiviridae
Scale drop disease virus,Megalocytivirus,Iridoviridae
Hantavirus Z10,Orthohantavirus,Hantaviridae
Orthoflavivirus tembusu,Orthoflavivirus,Flaviviridae
Alphachrysovirus cryphonectriae,Alphachrysovirus,Chrysoviridae
Beluga whale coronavirus SW1,Gammacoronavirus,Coronaviridae
Circovirus canary,Circovirus,Circoviridae
Citrus vein enation virus,Enamovirus,Solemoviridae
BeAn 58058 virus,Oryzopoxvirus,Poxviridae
