Species,Genus,Family
Oat necrotic mottle virus,Tritimovirus,Potyviridae
Abutilon mosaic Bolivia virus,Begomovirus,Geminiviridae
Chilli ringspot virus,Potyvirus,Potyviridae
Gredihovirus tellurivivens,Gredihovirus,Steitzviridae
Yambean mosaic virus,Potyvirus,Potyviridae
Unuamitovirus crri4,Unuamitovirus,Mitoviridae
Murine leukemia-related retroviruses,Gammaretrovirus,Retroviridae
Haifavirus tim68,Haifavirus,Kyanoviridae
Torchivirus A,Torchivirus,Picornaviridae
Magoulivirus niplasmoparae,Magoulivirus,Botourmiaviridae
Ghunavirus gh1,Ghunavirus,Autographiviridae
Tequatrovirus ec04,Tequatrovirus,Straboviridae
Hordeum vulgare alphaendornavirus,Alphaendornavirus,Endornaviridae
Siegesbeckia yellow vein betasatellite,Betasatellite,Tolecusatellitidae
Chatterjeevirus N4,Chatterjeevirus,Autographiviridae
Feravirus hemipterus,Feravirus,Phasmaviridae
Avian orthoreovirus,Orthoreovirus,Spinareoviridae
Erthesina fullo arlivirus 1,Arlivirus,Lispiviridae
Amubhivirus agrivicinum,Amubhivirus,Fiersviridae
Habenivirus RSM3,Habenivirus,Inoviridae
Epseptimavirus faergetype,Epseptimavirus,Demerecviridae
Betascleroulivirus zetaplasmoparae,Betascleroulivirus,Botourmiaviridae
Sunrhavirus nasoule,Sunrhavirus,Rhabdoviridae
Phaeocystis globosa virus,Prymnesiovirus,Phycodnaviridae
Bovine torovirus,Torovirus,Tobaniviridae
Alphanudivirus droinnubilae,Alphanudivirus,Nudiviridae
Etatorquevirus felid3,Etatorquevirus,Anelloviridae
Cytomegalovirus saimiriinebeta4,Cytomegalovirus,Orthoherpesviridae
Marafivirus medicagonis,Marafivirus,Tymoviridae
Lowelvirus tuscon4d,Lowelvirus,Kyanoviridae
Alphabaculovirus busuppressariae,Alphabaculovirus,Baculoviridae
Webervirus KpV522,Webervirus,Drexlerviridae
Capvunavirus CpV1,Capvunavirus,Guelinviridae
Hpunavirus HP1,Hpunavirus,Peduoviridae
Squash leaf curl virus,Begomovirus,Geminiviridae
Deltavirus italiense,Deltavirus,Kolmioviridae
Hepatitis delta virus,Deltavirus,Kolmioviridae
Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae
Avocado sunblotch viroid,Avsunviroid,Avsunviroidae
Rhinovirus A,Enterovirus,Picornaviridae
Dyothetapapillomavirus 1,Dyothetapapillomavirus,Papillomaviridae
Macavirus caprinegamma2,Macavirus,Orthoherpesviridae
Sida mottle virus,Begomovirus,Geminiviridae
Unuamitovirus scsc7,Unuamitovirus,Mitoviridae
Rabovirus D,Rabovirus,Picornaviridae
Canine protoparvovirus,Protoparvovirus,Parvoviridae
Orthobunyavirus lumboense,Orthobunyavirus,Peribunyaviridae
Kihrivirus limicola,Kihrivirus,Atkinsviridae
Charybnivirus 1,Charybnivirus,Euroniviridae
Eganvirus PsP3,Eganvirus,Peduoviridae
Striwavirus sanxiaense,Striwavirus,Nairoviridae
Glaucusvirus ssm5,Glaucusvirus,Kyanoviridae
Alphapolyomavirus pirufomitratus,Alphapolyomavirus,Polyomaviridae
Cytomegalovirus cebinebeta1,Cytomegalovirus,Orthoherpesviridae
Tombusvirus cynarae,Tombusvirus,Tombusviridae
Kahnayevirus asiovivens,Kahnayevirus,Blumeviridae
Felsduovirus ST437OXA245phi42,Felsduovirus,Peduoviridae
Betachrysovirus aspergilli,Betachrysovirus,Chrysoviridae
Orthobunyavirus batamaense,Orthobunyavirus,Peribunyaviridae
Kayvirus S253,Kayvirus,Herelleviridae
Cordyline virus 3,Velarivirus,Closteroviridae
Mammarenavirus bearense,Mammarenavirus,Arenaviridae
